Country,Official,2023[4] Rank,COL
Albania,Albanian,40=,84.0
Algeria,"Arabic,Berber",96,126.0
Argentina,None (Spanish has de facto status),54,118.0
Armenia,Armenian,66,72.0
Australia,None (English has de facto status),22,11.0
Austria,German,5,21.0
Azerbaijan,Azerbaijani,95,117.0
Bahrain,Arabic,108,39.0
Bangladesh,Bengali,88=,133.0
Belarus,"Belarusian,Russian",116,94.0
Belgium,"Dutch,French,German",20,27.0
Bolivia,"Castilian (Spanish),Aymara,Araona,Baure,Bésiro (Chiquitano),Canichana,Cavineño,Cayubaba,Chácobo,Chimán,Ese Ejja,Guaraní,Guarasu'we,Guarayu,Itonama,Leco,Machajuyai-Kallawaya,Machineri,Maropa,Mojeño-Ignaciano,Mojeño-Trinitario,Moré,Mosetén,Movima,Pacawara,Puquina,Quechua,Sirionó,Tacana,Tapieté,Toromona,Uru-Chipaya,Weenhayek,Yaminawa,Yuki,Yuracaré,Zamuco",78,114.0
Botswana,English,42,111.0
Brazil,Portuguese[16],132,90.0
Bulgaria,Bulgarian,30,85.0
Cambodia,Khmer,73,80.0
Cameroon,"English,French",139,78.0
Canada,"English (Federal),French (Federal)",11,24.0
Chile,Chilean Spanish,58,62.0
China,Standard Chinese,80,93.0
Colombia,Spanish,140=,129.0
Costa Rica,Spanish,39,50.0
Croatia,Croatian,14,64.0
Cuba,Spanish,99,49.0
Cyprus,"Greek,Turkish",64,37.0
Denmark,Danish,2,10.0
Dominican Republic,Spanish,83,73.0
Ecuador,"Spanish,Quechua (official language of intercultural relation)",97=,102.0
Egypt,Arabic,121,139.0
El Salvador,Spanish,122,76.0
Estonia,Estonian,25,40.0
Ethiopia,"Afar,Amharic,Oromo,Somali,Tigrinya",151,77.0
Finland,"Finnish,Swedish",13,22.0
France,French,67,20.0
Georgia,Georgian,94,82.0
Germany,German,15,26.0
Ghana,English,51,127.0
Greece,Greek,60,47.0
Guatemala,Spanish,103=,88.0
Guyana,English,106,61.0
Honduras,Spanish,120,91.0
Hungary,Hungarian,18,60.0
Iceland,"Icelandic,Icelandic Sign Language",1,5.0
India,"Hindi,English",126,138.0
Indonesia,Indonesian,53,115.0
Iran,Persian,147=,128.0
Iraq,"Arabic,Kurdish",154,106.0
Ireland,"Irish,English",3,17.0
Israel,Hebrew,143,18.0
Italy,Italian,34,32.0
Jamaica,English,77,42.0
Japan,None (Japanese has de facto status),9,43.0
Jordan,Arabic,62,68.0
Kazakhstan,"Kazakh,Russian",76,101.0
Kenya,"English,Swahili",117,125.0
South Korea,"Korean,Korean Sign Language",43,19.0
Kuwait,Standard Arabic,35,66.0
Latvia,Latvian,27,53.0
Lebanon,Arabic,135,48.0
Libya,Arabic,137,136.0
Lithuania,Lithuanian,36,56.0
Malaysia,Malay,19,109.0
Mauritius,English Mauritian Creole (Also known as 'Morisien'),23,81.0
Mexico,None (Spanish has de facto status),136,75.0
Moldova,Romanian,57,96.0
Mongolia,Mongolian,44,108.0
Montenegro,Montenegrin,45,74.0
Morocco,"Arabic,Berber",84=,119.0
Namibia,English,56,112.0
Nepal,Nepali,79,134.0
Netherlands,Dutch,16,25.0
New Zealand,"English has de facto status,Maori language,New Zealand Sign Language",4,16.0
Nicaragua,Spanish,123,98.0
Nigeria,English,144,137.0
North Macedonia,"Macedonian,Albanian",38,107.0
Norway,"Norwegian,Sami languages",24,9.0
Oman,Arabic,48,58.0
Pakistan,"Urdu,English",146,140.0
Palestine,None (Arabic has de facto status),134,69.0
Panama,Spanish,68=,59.0
Paraguay,"Spanish,Guaraní",68=,123.0
Peru,"Peruvian Spanish,Quechua,Aymara,Asháninka",103=,104.0
Philippines,"Filipino,English",115,95.0
Poland,Polish,29,71.0
Portugal,Portuguese,7,65.0
Qatar,Arabic,21,36.0
Romania,Romanian,31=,89.0
Russia,Russian,158,110.0
Saudi Arabia,Arabic,119,54.0
Senegal,French,52,67.0
Serbia,Serbian,65,83.0
Singapore,"English,Malay,Mandarin Chinese,Tamil",6,6.0
Slovakia,Slovak,26,63.0
Slovenia,Slovene,8,52.0
Somalia,"Somali, Arabic",156,121.0
South Africa,"Afrikaans,English,Southern Ndebele,Sotho,Northern Sotho,Swazi,Tsonga,Tswana,Venda,Xhosa,Zulu",130,99.0
Spain,Spanish,31=,57.0
Sri Lanka,"Sinhala,Tamil",107,103.0
Sweden,Swedish,28,33.0
Switzerland,"French (Bern, Fribourg, Geneva, Jura, Neuchâtel, Valais, Vaud),German (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Glarus, Graubünden, Lucerne, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Valais, Zug, Zürich),Italian (Ticino, Graubünden),Romansh (Graubünden)",10,2.0
Syria,Arabic,161,135.0
Taiwan,None (Mandarin Chinese has de facto status),31=,46.0
Tanzania,"Swahili,English",91,124.0
Thailand,Thai,92,87.0
Tunisia,Arabic,81,130.0
Turkey,Turkish,147=,131.0
Uganda,"English,Swahili",124=,113.0
Ukraine,Ukrainian,157,116.0
United Arab Emirates,Arabic,75,34.0
Uruguay,None (Spanish has de facto status) Uruguayan Sign Language,50,31.0
Uzbekistan,Uzbek,86,132.0
Venezuela,"Spanish,Venezuelan Sign Language",140=,79.0
Vietnam,Vietnamese,40=,100.0
Yemen,Arabic,162,38.0
Zimbabwe,"Chewa,Chibarwe,English,Kalanga,Khoisan,Nambya,Ndau,Ndebele,Shangani,Shona,Sign language,Sotho,Tonga,Tswana,Venda,Xhosa",124=,86.0
